Full Name,First Name,Last Name,Projected Points,Sentiment,NumOfDataPoints,Average Sentiment,Most Positive Comment,Most Positive Comment Score,Most Negative Comment,Most Negative Comment Score,Position,Actual Points
Josh Allen,Josh,Allen,374.63,89.04329999999987,919,0,"They make Lamar out like he wont last abother year with his style, but make Josh Allen out to be the next Great White Hope and I like Josh Allen.",0.9382,"Josh Allen is a fucking bad motherfucker, holy shit.",-0.9227,QB,31.48
Patrick Mahomes,Patrick,Mahomes,352.02,6.1110000000000015,68,0,I don’t trust Tua enough and I honestly believe that Hill benefited from playing with a good and a great QB (Alex Smith and Patrick Mahomes).,0.9337,I’ll die on the hill that they injured Patrick Mahomes during this game and that’s the reason he stunk so bad in the second half.,-0.9286,QB,34.9
Justin Herbert,Justin,Herbert,328.04,6.9272,99,0,"The Rams stadium is very impressive, I enjoy watching Justin Herbert launch bombs in it.",0.7947,Justin Herbert had literally the 2nd worst oline in 2020 and absolutely no run game to speak of yet broke every record possible.,-0.8553,QB,23.26
Jalen Hurts,Jalen,Hurts,318.51,-20.288399999999996,76,0,Our only major question mark is whether or not Jalen Hurts can take the next step from a *meh* to a really good or great.,0.8782,"Obviously there’s a ton of hype around here considering we had a really good offseason and it seems like a lot of the league is paying some attention to us, but all it’s gonna take is Jalen hurts still being a terrible passer or the defense not living up the it’s potential to kill all the hype we have.",-0.9225,QB,24.72
Jonathan Taylor,Jonathan,Taylor,316.99,3.4988,26,0,> Because Jonathan Taylor is on your team and my friend keeps rubbing it in that he’s better than Josh Jacobs so I’m jealous lol.,0.7082,Jonathan Taylor is one hell of a RB and I am pissed I haven’t been able to get him in any of my leagues.,-0.8689,RB,27.5
Lamar Jackson,Lamar,Jackson,316.41,24.894599999999997,184,0,"When asked what the perfect qb looked like he Said ""some combination of Drew Brees and Lamar Jackson"" and consider who Shanahan has lost superbowls to, Mahomes and Brady going God Mode, he clearly had that in mind and picked the highest ceiling prospect in the draft (besides Lawrence)",0.872,"I fucking hate Lamar Jackson and I don't think he'll ever be an elite passer, but he showed more than enough last season doing the little things of playing QB that, combined with what you know he's capable of with a surrounding cast that isn't a bunch of IR replacements, any Ravens' fan would have to be a total fucking idiot or just a racist asshole to not want to commit to Jackson.",-0.8554,QB,20.22
Kyler Murray,Kyler,Murray,314.0,4.6092,60,0,Upset: I trust the Cardinals and Kyler Murray to have an amazing season and it start by silencing the controversy of Murray's contract with a big win at home.,0.8316,NFC West: Kyler Murray is terrible this year.,-0.8192,QB,20.62
Cooper Kupp,Cooper,Kupp,312.91,17.414400000000004,272,0,I get what ur saying but to me just saying “Cooper Kupp bailed them out” at the minimum is a great disservice to a great throw by Stafford,0.9231,Cooper Kupp a bad motherfucker.,-0.8442,WR,31.8
Christian McCaffrey,Christian,McCaffrey,309.94,-0.35160000000000013,15,0,Christian McCaffrey is handsome.,0.4939,"Sorry, but this goes against our prevailing bias that Christian McCaffrey has glass bones and paper skin, therefore we've elected to ignore it",-0.6124,RB,15.7
Aaron Rodgers,Aaron,Rodgers,309.66,56.51259999999998,317,0,"I mean, I get it, but Aaron Rodgers knows how to win MVPs like Tom Brady knows how to win Super Bowls.",0.9682,"Aaron Rodgers is such a cocky dickhead for a guy who chokes out of the playoffs every year, only to find someone to blame/replace and do it again.",-0.8225,QB,3.7
Tom Brady,Tom,Brady,306.83,63.46550000000003,558,0,"I mean, I get it, but Aaron Rodgers knows how to win MVPs like Tom Brady knows how to win Super Bowls.",0.9682,Tom Brady has a horrible season and regrets unretiring even if this one bad season won’t affect his overall legacy,-0.8591,QB,10.38
Dak Prescott,Dak,Prescott,306.52,4.3373,43,0,Dak Prescott is a top quarterback in the league and would have better success right now if not for poor coaching hires,0.8736,Dak Prescott is actually a really nice dude and i still feel sad about him losing his brother to suicide.,-0.7968,QB,4.46
Russell Wilson,Russell,Wilson,302.42,19.145000000000003,192,0,"You need a good quarterback in this league to win a super bowl and Russell Wilson was that when he was needed to be on Super Bowl Sunday and that’s not always a given, even with elite quarterbacks.",0.9382,"Russell Wilson is watching this game, watching his wife fuck another man, and crying because he won't be the MVP this season.",-0.765,QB,17.8
Joe Burrow,Joe,Burrow,294.45,15.0596,112,0,Bengals: are pretty resilient and am impressed they think Joe Burrow is a top 5 QB that takes some great imagination,0.9042,Joe Burrow got his ass kicked his first year and now he's killing it.,-0.836,QB,18.22
Justin Jefferson,Justin,Jefferson,287.8,6.5977,55,0,"Sauce Gardner wins DROY, Von Miller wins second Super Bowl mvp, Justin Jefferson wins MVP, Russ leads league in passing yards, Derrick Henry wins rushing title again.",0.9623,Justin Jefferson is one if not the most fun recivers to watch in the NFL,-0.4439,WR,39.4
Matthew Stafford,Matthew,Stafford,285.7,14.178300000000004,113,0,"That’s Super Bowl Champion Matthew Stafford to you, although I understand you all don’t know about super bowl championships there.",0.9423,Also Matthew Stafford - fakes a spike to dive in for the TD with a fucked up back,-0.802,QB,7.8
Austin Ekeler,Austin,Ekeler,284.73,0.2141,3,0,The only thing that's making me feel better about starting Cam Akers is that I also have Austin Ekeler for the rest of the season.,0.4404,Was that the day Nick Chubb and Austin Ekeler both got hurt within like 5 minutes of real time?,-0.2263,RB,11.2
Trey Lance,Trey,Lance,284.03,10.6841,174,0,Depends on how good Trey Lance is but they can still be pretty good as long as he’s not terrible.,0.925,"NFC lowkey could be wide open for the Cowboys, all of this is speculation but it’s entirely possible the Bucs get worse after losing Gronk, multiple offensive line starters, and Godwin not being the same after an ACL tear, the Packers get worse after losing Davante and MVS, the Rams get worse due to the rumors about Staffords arm being true, and the 49ers get worse due to Trey Lance not being as good right away as hoped by the 49ers.",-0.9801,QB,9.96
Ja'Marr Chase,Ja'Marr,Chase,276.17,1.8931,10,0,Ja'Marr Chase cooked him alive in the Super Bowl.,0.7579,,0,WR,28.9
Tua Tagovailoa,Tua,Tagovailoa,271.03,0.7269,8,0,"* Tua Tagovailoa came from an elite college program, played on the biggest stages, won a national title.",0.7269,,0,QB,14.8
Kirk Cousins,Kirk,Cousins,269.17,22.311600000000006,157,0,"QBs that need great run games to be good are the Jimmy Gs, Jared Goffs, or even at best the Kirk Cousins of the world.",0.9042,Ima stout Kirk cousins hater but what the fuck that’s ridiculous,-0.8608,QB,19.08
Najee Harris,Najee,Harris,265.48,0.3800000000000001,11,0,The Pittsburgh Steelers have a class act at head coach and Najee Harris is a kind man who I hope finds great success 15/17 weeks.,0.9337,"It’s going to lead to Najee Harris, whom the team already over-used in 2021, getting absolutely killed as the team continues to lean on him because of a shaky QB situation.",-0.7713,RB,10.6
Derrick Henry,Derrick,Henry,264.47,9.560000000000002,111,0,"Sauce Gardner wins DROY, Von Miller wins second Super Bowl mvp, Justin Jefferson wins MVP, Russ leads league in passing yards, Derrick Henry wins rushing title again.",0.9623,Derrick Henry gets hurt for the majority of the season and we somehow weather those injuries only to lose to an Orange team in the playoffs.,-0.7269,RB,8.2
Deebo Samuel,Deebo,Samuel,261.46,2.1782,18,0,Deebo Samuel is the best all-around offensive player (skill positions) in football and he would look great in any other jersey 😛 also helps that he was basically the fantasy MVP for me last year and if he’s available I’m taking him again.,0.836,"Gradually, this position became more formalized and teams stopped bothering with HB/FL hybrids (Deebo Samuel is not, in fact, the first Wideback).",-0.5423,WR,12.6
Trevor Lawrence,Trevor,Lawrence,260.71,6.6444,96,0,"I love Doug Pederson, but I just have no faith in Trevor Lawrence or the GM down there to put the right talent around him to bring him success",0.9224,I’m not even tryna be rude or offend anyone but Trevor Lawrence was the most hyped prospect in a decade and now no one gives a shit about him,-0.7954,QB,13.4
